iter	Logloss
334	0.4869487805
335	0.4869473619
336	0.4869384888
337	0.4869279393
338	0.4869211192
339	0.4869178652
340	0.4869156752
341	0.486912214
342	0.4868987381
343	0.4868913167
344	0.486884824
345	0.4868821217
346	0.4868725921
347	0.4868601754
348	0.4868548501
349	0.4868501766
350	0.4868428998
351	0.4868356746
352	0.4868333254
353	0.4868292901
354	0.4868151175
355	0.4868028607
356	0.4867987879
357	0.4867913616
358	0.4867886005
359	0.4867846479
360	0.4867806891
361	0.4867761883
362	0.4867751241
363	0.4867584696
364	0.4867523731
365	0.4867492713
366	0.4867407533
367	0.4867303078
368	0.4867301764
369	0.4867196078
370	0.4867165268
371	0.4867094966
372	0.4867030526
373	0.4866971721
374	0.4866920807
375	0.4866911021
376	0.4866766429
377	0.4866755994
378	0.4866594921
379	0.4866514575
380	0.4866394319
381	0.4866281287
382	0.4866192708
383	0.4866113313
384	0.4866059655
385	0.4865956315
386	0.4865942826
387	0.486593495
388	0.4865897391
389	0.4865843833
390	0.4865735893
391	0.4865661309
392	0.486559859
393	0.4865560501
394	0.4865441343
395	0.4865392894
396	0.4865302419
397	0.4865246474
398	0.4865137775
399	0.4865046476
400	0.4865004578
401	0.4864982442
402	0.4864934768
403	0.4864835779
404	0.4864712023
405	0.4864690458
406	0.4864617309
407	0.4864541195
408	0.4864435022
409	0.4864410982
410	0.4864388668
411	0.4864335846
412	0.4864252117
413	0.4864230729
414	0.4864143532
415	0.4864102714
416	0.4864011575
417	0.4863998219
418	0.4863909042
419	0.4863827047
420	0.4863765589
421	0.4863730245
422	0.4863727552
423	0.4863601661
424	0.4863541202
425	0.4863505228
426	0.4863493775
427	0.4863439036
428	0.4863307816
429	0.4863251871
430	0.4863154005
431	0.4863069793
432	0.4863023328
433	0.486297478
434	0.4862843355
435	0.4862791225
436	0.4862678242
437	0.4862609079
438	0.4862581276
439	0.4862572953
440	0.4862572845
441	0.4862472756
442	0.4862419883
443	0.4862284513
444	0.4862249305
445	0.4862176245
446	0.4862130272
447	0.4862005448
448	0.4861875788
449	0.4861715082
450	0.4861594999
451	0.48614615
452	0.48614357
453	0.4861268163
454	0.486116759
455	0.4861099207
456	0.4860991647
457	0.4860972793
458	0.4860914708
459	0.4860831928
460	0.4860813113
461	0.4860804321
462	0.4860690228
463	0.486064509
464	0.48606133
465	0.486057639
466	0.4860519171
467	0.4860514352
468	0.4860402059
469	0.4860396848
470	0.4860376028
471	0.4860224539
472	0.4860092786
473	0.4859971107
474	0.4859967566
475	0.4859888666
476	0.4859885403
477	0.4859738379
478	0.4859698021
479	0.4859632713
480	0.4859549395
481	0.4859437436
482	0.4859427776
483	0.4859359923
484	0.4859306585
485	0.4859300736
486	0.4859296344
487	0.4859224269
488	0.4859066842
489	0.485895042
490	0.4858839736
491	0.4858782969
492	0.4858685923
493	0.4858659335
494	0.4858624759
495	0.4858597605
496	0.4858584264
497	0.4858437077
498	0.4858355953
499	0.4858354567
500	0.4858310825
501	0.4858282365
502	0.4858238442
503	0.4858234222
504	0.4858137366
505	0.4858132975
506	0.4858129046
507	0.4857979642
508	0.4857825691
509	0.485776126
510	0.4857633863
511	0.4857504225
512	0.4857492296
513	0.485742028
514	0.4857328878
515	0.485732046
516	0.48573109
517	0.485728234
518	0.4857155611
519	0.4857081593
520	0.4857003278
521	0.4856991056
522	0.4856889439
523	0.4856839254
524	0.4856810024
525	0.4856710113
526	0.4856632177
527	0.4856572646
528	0.4856461898
529	0.485646138
530	0.4856401408
531	0.485639138
532	0.485638783
533	0.4856276929
534	0.4856261322
535	0.4856116226
536	0.4856029226
537	0.4856028608
538	0.485591307
539	0.4855887321
540	0.4855886138
541	0.4855774086
542	0.4855690839
543	0.4855655246
544	0.4855615266
545	0.4855516523
546	0.4855398125
547	0.4855349822
548	0.4855305994
549	0.485529672
550	0.4855269996
551	0.4855155909
552	0.4855097013
553	0.4855064795
554	0.4855053879
555	0.4855035045
556	0.4854947764
557	0.4854935615
558	0.4854905979
559	0.4854869292
560	0.4854856553
561	0.4854801403
562	0.4854781413
563	0.4854717023
564	0.4854667838
565	0.4854576205
566	0.4854522102
567	0.485444625
568	0.485443515
569	0.4854396191
570	0.4854394712
571	0.4854326602
572	0.4854292763
573	0.4854257349
574	0.4854208248
575	0.4854166126
576	0.485413911
577	0.4854120245
578	0.4854071444
579	0.4854069776
580	0.4853940102
581	0.4853887699
582	0.4853847923
583	0.4853798522
584	0.485375483
585	0.4853732236
586	0.4853715922
587	0.4853672431
588	0.4853547019
589	0.4853518746
590	0.4853422579
591	0.4853334898
592	0.4853308447
593	0.4853289253
594	0.4853247667
595	0.48532375
596	0.4853233409
597	0.4853232641
598	0.4853201318
599	0.4853142806
600	0.4853127114
601	0.4853095346
602	0.4852994271
603	0.4852983884
604	0.4852861173
605	0.4852809317
606	0.4852706875
607	0.4852617986
608	0.4852550577
609	0.4852426145
610	0.4852345552
611	0.4852293495
612	0.4852243916
613	0.4852169065
614	0.4852168957
615	0.4852110346
616	0.4852035748
617	0.4851929288
618	0.4851861059
619	0.4851833203
620	0.4851774118
621	0.4851769058
622	0.485176798
623	0.4851680799
624	0.4851653866
625	0.4851609782
626	0.4851523629
627	0.4851456937
628	0.4851448759
629	0.4851391865
630	0.4851372812
631	0.4851339366
632	0.4851312358
633	0.4851242767
634	0.4851233541
635	0.4851205615
636	0.4851203059
637	0.4851140799
638	0.4851129022
639	0.4851096129
640	0.485106347
641	0.4850951717
642	0.4850909541
643	0.4850864229
644	0.4850821719
645	0.4850717859
646	0.485069223
647	0.4850683848
648	0.4850623347
649	0.4850581464
650	0.4850557915
651	0.4850542387
652	0.4850522576
653	0.4850476747
654	0.4850454383
655	0.4850351178
656	0.4850273645
657	0.4850213809
658	0.4850179637
659	0.4850083373
660	0.4850019716
661	0.484998454
662	0.4849917995
663	0.4849910854
664	0.4849884557
665	0.4849847077
666	0.4849831201
667	0.4849824865
668	0.484974601
669	0.4849735511
670	0.4849690277
671	0.4849690182
672	0.4849646564
673	0.4849577065
674	0.4849567625
675	0.4849495894
676	0.4849480082
677	0.4849476507
678	0.4849438654
679	0.4849398867
680	0.484935268
681	0.4849342944
682	0.4849296264
683	0.4849241662
684	0.4849241524
685	0.4849232288
686	0.4849180789
687	0.4849142172
688	0.4849114237
689	0.4849067113
690	0.4849063696
691	0.4849060296
692	0.484900932
693	0.4848946455
694	0.4848887557
695	0.4848856269
696	0.4848822502
697	0.4848768804
698	0.4848754925
699	0.4848730572
700	0.4848686274
701	0.484865559
702	0.484863243
703	0.4848570886
704	0.4848509701
705	0.4848483922
706	0.4848480804
707	0.4848443899
708	0.4848370065
709	0.4848309811
710	0.484829546
711	0.4848217169
712	0.4848104417
713	0.484810131
714	0.4848044987
715	0.4848032331
716	0.4847956382
717	0.4847914652
718	0.4847871479
719	0.4847851288
720	0.4847789314
721	0.4847743395
722	0.4847659498
723	0.4847619158
724	0.4847561125
725	0.484754516
726	0.4847517766
727	0.4847489539
728	0.4847435046
729	0.4847391732
730	0.4847353932
731	0.4847310352
732	0.4847302142
733	0.4847222771
734	0.4847178072
735	0.484707323
736	0.4846977051
737	0.4846945624
738	0.4846935646
739	0.4846904294
740	0.4846856192
741	0.4846815789
742	0.4846811621
743	0.4846785165
744	0.4846762187
745	0.4846751166
746	0.4846727746
747	0.4846709321
748	0.4846638627
749	0.4846600821
750	0.4846553573
751	0.4846540488
752	0.4846531441
753	0.4846488273
754	0.4846477257
755	0.4846456818
756	0.4846354634
757	0.4846330936
758	0.4846328367
759	0.4846322048
760	0.484629328
761	0.4846265365
762	0.4846230158
763	0.4846156647
764	0.4846113614
765	0.4846084559
766	0.48460691
767	0.4846026882
768	0.4845967398
769	0.4845954662
770	0.4845930541
771	0.4845879971
772	0.4845864869
773	0.4845826155
774	0.4845811389
775	0.4845779202
776	0.4845720744
777	0.4845695156
778	0.4845666534
779	0.4845642446
780	0.484561907
781	0.4845555974
782	0.4845553091
783	0.4845505543
784	0.4845480355
785	0.4845456111
786	0.4845438497
787	0.4845394356
788	0.484537738
789	0.4845367746
790	0.4845340145
791	0.4845273665
792	0.4845248717
793	0.484520527
794	0.4845177553
795	0.4845156273
796	0.4845129953
797	0.484511887
798	0.4845115428
799	0.4845077128
800	0.4844976217
801	0.4844959551
802	0.4844941292
803	0.4844880067
804	0.4844853392
805	0.4844842618
806	0.4844820289
807	0.4844811184
808	0.4844710852
809	0.4844683345
810	0.4844666275
811	0.4844625887
812	0.4844577965
813	0.4844514077
814	0.484445845
815	0.4844363216
816	0.4844338573
817	0.4844300693
818	0.4844262062
819	0.4844209195
820	0.4844149399
821	0.4844101623
822	0.4844081559
823	0.48440777
824	0.4844071036
825	0.4843942404
826	0.4843932546
827	0.4843883576
828	0.4843882662
829	0.4843859865
830	0.4843837091
831	0.4843810038
832	0.4843769283
833	0.4843736515
834	0.4843713008
835	0.4843703986
836	0.4843688033
837	0.4843639579
838	0.4843600043
839	0.4843589698
840	0.4843508012
841	0.4843505272
842	0.4843451581
843	0.4843378497
844	0.4843320157
845	0.4843294418
846	0.4843239999
847	0.4843202434
848	0.484315367
849	0.4843134087
850	0.4843115648
851	0.4843051311
852	0.4843028089
853	0.4842990452
854	0.4842968158
855	0.4842939365
856	0.484293477
857	0.484289844
858	0.4842870343
859	0.4842856318
860	0.484282721
861	0.4842816067
862	0.4842792772
863	0.4842761393
864	0.4842720472
865	0.484268257
866	0.4842680798
867	0.4842602275
868	0.4842565795
869	0.4842465581
870	0.4842426796
871	0.4842398405
872	0.4842340693
873	0.4842332617
874	0.4842290508
875	0.4842258773
876	0.4842248068
877	0.4842182627
878	0.4842125401
879	0.4842113708
880	0.4842055092
881	0.484203401
882	0.4842032249
883	0.4841987271
884	0.4841958755
885	0.4841932218
886	0.4841894107
887	0.4841869717
888	0.4841856064
889	0.4841827834
890	0.4841801131
891	0.4841770349
892	0.484172915
893	0.4841690708
894	0.4841677992
895	0.4841646252
896	0.4841615761
897	0.4841599346
898	0.484158905
899	0.4841533412
900	0.4841411985
901	0.484131235
902	0.4841227492
903	0.4841149676
904	0.4841109453
905	0.4841077082
906	0.4841053489
907	0.484103448
908	0.4841032065
909	0.4841012084
910	0.4840991981
911	0.4840985725
912	0.4840936519
913	0.4840917255
914	0.484082391
915	0.4840790304
916	0.4840766185
917	0.4840742392
918	0.4840722684
919	0.4840708022
920	0.4840692822
921	0.4840682653
922	0.4840654852
923	0.4840585797
924	0.4840560053
925	0.484050612
926	0.4840464804
927	0.4840422933
928	0.4840386911
929	0.4840358525
930	0.4840351923
931	0.4840326305
932	0.484027265
933	0.4840241832
934	0.4840202234
935	0.4840183805
936	0.4840166998
937	0.4840164793
938	0.4840148037
939	0.4840125526
940	0.4840110575
941	0.4840103332
942	0.4840097842
943	0.484008462
944	0.4840006003
945	0.484000465
946	0.4839959024
947	0.4839938769
948	0.4839877936
949	0.4839828666
950	0.4839795918
951	0.4839745899
952	0.4839700109
953	0.4839666354
954	0.4839657907
955	0.483959557
956	0.4839536039
957	0.4839508011
958	0.4839477391
959	0.4839448908
960	0.483943207
961	0.4839345562
962	0.4839330935
963	0.4839277369
964	0.4839268075
965	0.4839263354
966	0.4839213348
967	0.4839182972
968	0.4839172776
969	0.4839107573
970	0.4839078301
971	0.483903837
972	0.4839020154
973	0.4839010175
974	0.4838990506
975	0.4838975202
976	0.4838956519
977	0.4838928644
978	0.4838902695
979	0.4838877755
980	0.4838824559
981	0.4838786445
982	0.4838717092
983	0.4838705327
984	0.4838686072
985	0.4838644276
986	0.4838630098
987	0.4838592499
988	0.4838571343
989	0.4838571224
990	0.4838533519
991	0.4838467432
992	0.4838396036
993	0.4838365619
994	0.4838328527
995	0.4838222665
996	0.4838183332
997	0.483812445
998	0.4838109597
999	0.4838102347
