iter	Passed	Remaining
399	145243	217864
400	145616	217516
401	145947	217105
402	146322	216760
403	146701	216421
404	147076	216074
405	147415	215676
406	147738	215255
407	148108	214902
408	148476	214546
409	148814	214147
410	149122	213705
411	149448	213290
412	149810	212926
413	150146	212525
414	150508	212163
415	150858	211782
416	151192	211379
417	151526	210977
418	151843	210551
419	152181	210155
420	152534	209780
421	152905	209430
422	153033	208747
423	153367	208348
424	153761	208030
425	154137	207688
426	154460	207273
427	154817	206905
428	155186	206554
429	155567	206217
430	155933	205861
431	156256	205448
432	156596	205058
433	156940	204673
434	157305	204316
435	157666	203953
436	158011	203570
437	158383	203222
438	158769	202891
439	159076	202460
440	159367	202010
441	159686	201595
442	160018	201196
443	160348	200796
444	160728	200458
445	161102	200113
446	161436	199718
447	161814	199378
448	162158	198996
449	162588	198718
450	162943	198350
451	163302	197985
452	163651	197610
453	164016	197253
454	164416	196938
455	164774	196572
456	165100	196170
457	165439	195781
458	165832	195458
459	166155	195051
460	166515	194689
461	166886	194339
462	167217	193943
463	167565	193567
464	167917	193195
465	168273	192828
466	168661	192498
467	168999	192110
468	169378	191769
469	169703	191368
470	170046	190985
471	170377	190591
472	170737	190229
473	171052	189818
474	171402	189444
475	171784	189107
476	172129	188728
477	172496	188374
478	172835	187989
479	173200	187633
480	173563	187274
481	173892	186879
482	174249	186514
483	174630	186176
484	174965	185788
485	175280	185379
486	175635	185012
487	175999	184655
488	176327	184260
489	176710	183923
490	177070	183561
491	177420	183190
492	177781	182829
493	178130	182457
494	178480	182085
495	178821	181705
496	179167	181330
497	179521	180962
498	179915	180637
499	180258	180258
500	180596	179875
501	180951	179509
502	181331	179168
503	181686	178802
504	182064	178458
505	182427	178101
506	182758	177712
507	183107	177339
508	183454	176966
509	183824	176615
510	184203	176272
511	184573	175921
512	184896	175525
513	185222	175132
514	185560	174750
515	185917	174387
516	186257	174008
517	186700	173725
518	187070	173373
519	187455	173035
520	187824	172683
521	188192	172329
522	188543	171960
523	188910	171605
524	189212	171192
525	189564	170823
526	189937	170474
527	190304	170120
528	190683	169776
529	190979	169359
530	191357	169014
531	191714	168650
532	192066	168283
533	192432	167927
534	192751	167531
535	193077	167141
536	193415	166762
537	193771	166398
538	194112	166022
539	194500	165685
540	194842	165310
541	195203	164950
542	195542	164573
543	195905	164214
544	196226	163822
545	196564	163443
546	196930	163088
547	197301	162737
548	197672	162387
549	197992	161994
550	198335	161620
551	198690	161255
552	199051	160896
553	199368	160502
554	199721	160137
555	200070	159768
556	200426	159405
557	200775	159037
558	201124	158669
559	201495	158317
560	201836	157943
561	202206	157591
562	202560	157227
563	202884	156839
564	203219	156461
565	203569	156093
566	203939	155742
567	204286	155373
568	204624	154996
569	204958	154617
570	205299	154244
571	205693	153910
572	206052	153550
573	206418	153195
574	206751	152816
575	207100	152448
576	207519	152132
577	207897	151786
578	208257	151427
579	208614	151065
580	208934	150677
581	209265	150297
582	209652	149957
583	210005	149592
584	210354	149225
585	210730	148877
586	211087	148516
587	211459	148165
588	211785	147782
589	212186	147451
590	212545	147091
591	212874	146710
592	213195	146324
593	213579	145982
594	213965	145640
595	214316	145275
596	214688	144924
597	215044	144561
598	215408	144205
599	215786	143857
600	216208	143539
601	216549	143167
602	216903	142804
603	217259	142441
604	217593	142065
605	217901	141672
606	218224	141288
607	218586	140930
608	218974	140589
609	219353	140242
610	219684	139864
611	220046	139506
612	220418	139154
613	220795	138806
614	221094	138408
615	221421	138028
616	221761	137657
617	222125	137300
618	222565	136990
619	222906	136620
620	223258	136256
621	223562	135862
622	223898	135489
623	224304	135157
624	224649	134789
625	225029	134442
626	225400	134090
627	225751	133725
628	226142	133384
629	226490	133018
630	226858	132663
631	227190	132287
632	227551	131929
633	227916	131573
634	228233	131189
635	228560	130811
636	228885	130432
637	229258	130080
638	229613	129719
639	229966	129356
640	230307	128986
641	230649	128617
642	231015	128262
643	231409	127921
644	231770	127563
645	232141	127210
646	232470	126834
647	232791	126454
648	233196	126120
649	233601	125785
650	233944	125417
651	234288	125049
652	234599	124664
653	234997	124325
654	235340	123957
655	235684	123590
656	236002	123209
657	236351	122845
658	236732	122497
659	237075	122129
660	237414	121760
661	237774	121401
662	238129	121039
663	238492	120683
664	238810	120303
665	239174	119946
666	239510	119575
667	239920	119241
668	240314	118899
669	240683	118545
670	241033	118181
671	241367	117810
672	241732	117454
673	242112	117104
674	242489	116754
675	242863	116402
676	243215	116039
677	243579	115682
678	243863	115287
679	244210	114922
680	244560	114559
681	244932	114205
682	245300	113850
683	245629	113477
684	245959	113105
685	246337	112754
686	246701	112398
687	247085	112050
688	247457	111697
689	247823	111340
690	248183	110982
691	248527	110616
692	248904	110265
693	249341	109940
694	249685	109574
695	250031	109208
696	250400	108854
697	250786	108506
698	251111	108132
699	251446	107762
700	251787	107395
701	252115	107023
702	252484	106668
703	252884	106326
704	253281	105983
705	253645	105625
706	254003	105266
707	254373	104910
708	254737	104553
709	255085	104189
710	255442	103829
711	255805	103471
712	256180	103119
713	256529	102755
714	256897	102399
715	257260	102041
716	257633	101688
717	257968	101319
718	258354	100970
719	258682	100598
720	259038	100238
721	259349	99860
722	259666	99484
723	260019	99123
724	260379	98764
725	260741	98406
726	261064	98033
727	261435	97679
728	261820	97329
729	262141	96956
730	262491	96594
731	262850	96234
732	263209	95875
733	263546	95508
734	263912	95152
735	264253	94786
736	264631	94434
737	264995	94077
738	265364	93721
739	265694	93351
740	266011	92978
741	266376	92621
742	266726	92259
743	267081	91898
744	267422	91533
745	267731	91157
746	268084	90797
747	268387	90419
748	268740	90058
749	269092	89697
750	269439	89334
751	269768	88966
752	270133	88609
753	270506	88255
754	270896	87906
755	271253	87547
756	271604	87186
757	271964	86827
758	272297	86460
759	272645	86098
760	272984	85733
761	273327	85370
762	273682	85010
763	274154	84686
764	274538	84335
765	274921	83983
766	275270	83621
767	275652	83269
768	276027	82915
769	276352	82546
770	276706	82186
771	277098	81837
772	277458	81478
773	277783	81109
774	278130	80747
775	278503	80392
776	278843	80028
777	279173	79661
778	279552	79308
779	279902	78946
780	280250	78584
781	280588	78220
782	280944	77860
783	281321	77506
784	281677	77147
785	282026	76785
786	282365	76421
787	282751	76070
788	283094	75707
789	283453	75348
790	283813	74989
791	284187	74635
792	284567	74281
793	284848	73902
794	285197	73541
795	285581	73189
796	285969	72837
797	286336	72481
798	286706	72125
799	287073	71768
800	287437	71410
801	287798	71052
802	288129	70686
803	288515	70334
804	288890	69979
805	289281	69628
806	289606	69261
807	289961	68901
808	290282	68533
809	290605	68166
810	290938	67802
811	291321	67448
812	291666	67086
813	291980	66717
814	292323	66355
815	292706	66002
816	293054	65641
817	293422	65284
818	293802	64930
819	294136	64566
820	294518	64212
821	294845	63847
822	295231	63494
823	295595	63136
824	295963	62780
825	296294	62415
826	296626	62051
827	296970	61689
828	297314	61327
829	297681	60970
830	298030	60610
831	298393	60252
832	298753	59894
833	299199	59552
834	299567	59195
835	299972	58846
836	300351	58491
837	300782	58146
838	301247	57807
839	301700	57466
840	302218	57137
841	302802	56820
842	303230	56473
843	303652	56125
844	304104	55782
845	304554	55439
846	304941	55083
847	305331	54729
848	305755	54380
849	306192	54034
850	306631	53687
851	307126	53350
852	307683	53024
853	308152	52681
854	308560	52329
855	308949	51972
856	309357	51619
857	309814	51274
858	310265	50928
859	310670	50574
860	311067	50218
861	311507	49870
862	311936	49519
863	312372	49169
864	312838	48824
865	313404	48494
866	313859	48146
867	314307	47797
868	314737	47446
869	315097	47083
870	315411	46714
871	315762	46350
872	316132	45989
873	316441	45619
874	316784	45254
875	317095	44885
876	317424	44519
877	317787	44157
878	318125	43791
879	318476	43428
880	318853	43068
881	319218	42707
882	319541	42340
883	319910	41979
884	320308	41621
885	320635	41255
886	320981	40891
887	321387	40535
888	321819	40182
889	322267	39830
890	322685	39475
891	323016	39109
892	323505	38762
893	323881	38402
894	324328	38049
895	324765	37696
896	325166	37337
897	325557	36978
898	325910	36615
899	326250	36250
900	326584	35884
901	326947	35522
902	327333	35162
903	327662	34796
904	328039	34435
905	328474	34080
906	328913	33725
907	329351	33370
908	329773	33013
909	330200	32657
910	330583	32296
911	330980	31936
912	331388	31578
913	331796	31219
914	332150	30855
915	332619	30502
916	333035	30143
917	333571	29796
918	333943	29433
919	334368	29075
920	334777	28715
921	335141	28352
922	335495	27988
923	335865	27625
924	336223	27261
925	336584	26897
926	336935	26533
927	337290	26169
928	337653	25805
929	338014	25441
930	338356	25076
931	338728	24714
932	339099	24351
933	339418	23984
934	339771	23620
935	340121	23256
936	340464	22891
937	340777	22524
938	341127	22160
939	341449	21794
940	341775	21429
941	342128	21065
942	342646	20711
943	343010	20348
944	343353	19983
945	343692	19618
946	344054	19255
947	344391	18890
948	344737	18526
949	345046	18160
950	345382	17795
951	345740	17432
952	346091	17068
953	346452	16705
954	346806	16341
955	347179	15978
956	347547	15616
957	347901	15252
958	348265	14889
959	348643	14526
960	349128	14168
961	349478	13804
962	349804	13440
963	350200	13078
964	350545	12714
965	350867	12349
966	351179	11984
967	351492	11619
968	351817	11255
969	352136	10890
970	352479	10527
971	352871	10165
972	353242	9802
973	353619	9439
974	353996	9076
975	354378	8714
976	354745	8351
977	355106	7988
978	355452	7624
979	355764	7260
980	356133	6897
981	356486	6534
982	356883	6171
983	357235	5808
984	357603	5445
985	357995	5083
986	358342	4719
987	359008	4360
988	359427	3997
989	359765	3633
990	360283	3272
991	360707	2908
992	361097	2545
993	361487	2182
994	362005	1819
995	362386	1455
996	362729	1091
997	363142	727
998	363472	363
999	363815	0
